Tournament,Type,Winner,url,season,tourn_id,prize_fund
2011 UK Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/uk-championship/2011/222,2011,222,"GBP 625,000"
2011 Brazil Masters,Invitational,Shaun Murphy,https://cuetracker.net/tournaments/brazil-masters/2011/135,2011,135,"GBP 132,911"
2011 Shanghai Masters,Ranking,Mark Selby,https://cuetracker.net/tournaments/shanghai-masters/2011/53,2011,53,"GBP 350,000"
2011 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2011/108,2011,108,"GBP 210,000"
2011 Australian Open,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/australian-open/2011/52,2011,52,"GBP 289,000"
2011 Wuxi Classic,Invitational,Mark Selby,https://cuetracker.net/tournaments/wuxi-classic/2011/50,2011,50,"GBP 56,000"
2013 World Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-championship/2013/681,2012,681,"GBP 1,111,000"
2013 China Open,Ranking,Neil Robertson,https://cuetracker.net/tournaments/china-open/2013/560,2012,560,"GBP 431,000"
2013 PTC Grand Final,Ranking,Ding Junhui,https://cuetracker.net/tournaments/ptc-grand-final/2013/640,2012,640,"GBP 301,000"
2013 World Open,Ranking,Mark Allen,https://cuetracker.net/tournaments/world-open/2013/549,2012,549,"GBP 419,000"
2013 Welsh Open,Ranking,Stephen Maguire,https://cuetracker.net/tournaments/welsh-open/2013/608,2012,608,"GBP 244,000"
2013 German Masters,Ranking,Ali Carter,https://cuetracker.net/tournaments/german-masters/2013/530,2012,530,"GBP 289,739"
2013 Snooker Shootout,Invitational,Martin Gould,https://cuetracker.net/tournaments/snooker-shootout/2013/594,2012,594,"GBP 130,000"
2013 Masters,Invitational,Mark Selby,https://cuetracker.net/tournaments/masters/2013/565,2012,565,"GBP 500,000"
2013 Championship League,League,Martin Gould,https://cuetracker.net/tournaments/championship-league/2013/557,2012,557,"GBP 177,301"
2012 UK Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/uk-championship/2012/520,2012,520,"GBP 637,500"
2012 International Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/international-championship/2012/425,2012,425,"GBP 575,500"
2012 Shanghai Masters,Ranking,John Higgins,https://cuetracker.net/tournaments/shanghai-masters/2012/384,2012,384,"GBP 410,000"
2012 Premier League,League,Stuart Bingham,https://cuetracker.net/tournaments/premier-league/2012/427,2012,427,"GBP 224,000"
2012 Australian Open,Ranking,Barry Hawkins,https://cuetracker.net/tournaments/australian-open/2012/366,2012,366,"GBP 277,120"
2012 Wuxi Classic,Ranking,Ricky Walden,https://cuetracker.net/tournaments/wuxi-classic/2012/362,2012,362,"GBP 399,000"
2014 World Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/world-championship/2014/1042,2013,1042,"GBP 1,214,000"
2014 China Open,Ranking,Ding Junhui,https://cuetracker.net/tournaments/china-open/2014/1033,2013,1033,"GBP 479,000"
2014 Players Championship Grand Final,Ranking,Barry Hawkins,https://cuetracker.net/tournaments/players-championship-grand-final/2014/1041,2013,1041,"GBP 300,000"
2014 World Open,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/world-open/2014/997,2013,997,"GBP 479,000"
2014 Welsh Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/welsh-open/2014/1035,2013,1035,"GBP 310,000"
2014 German Masters,Ranking,Ding Junhui,https://cuetracker.net/tournaments/german-masters/2014/992,2013,992,"GBP 281,669"
2014 Snooker Shootout,Invitational,Dominic Dale,https://cuetracker.net/tournaments/snooker-shootout/2014/1022,2013,1022,"GBP 129,500"
2014 Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/masters/2014/1008,2013,1008,"GBP 600,000"
2014 Championship League,League,Judd Trump,https://cuetracker.net/tournaments/championship-league/2014/1005,2013,1005,"GBP 178,300"
2013 UK Championship,Ranking,Neil Robertson,https://cuetracker.net/tournaments/uk-championship/2013/984,2013,984,"GBP 755,000"
2013 Champion of Champions,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/champion-of-champions/2013/980,2013,980,"GBP 270,000"
2013 International Championship,Ranking,Ding Junhui,https://cuetracker.net/tournaments/international-championship/2013/969,2013,969,"GBP 615,000"
2013 Indian Open,Ranking,Ding Junhui,https://cuetracker.net/tournaments/indian-open/2013/961,2013,961,"GBP 300,000"
2013 Shanghai Masters,Ranking,Ding Junhui,https://cuetracker.net/tournaments/shanghai-masters/2013/960,2013,960,"GBP 423,000"
2013 Australian Open,Ranking,Marco Fu,https://cuetracker.net/tournaments/australian-open/2013/805,2013,805,"GBP 273,398"
2013 Wuxi Classic,Ranking,Neil Robertson,https://cuetracker.net/tournaments/wuxi-classic/2013/791,2013,791,"GBP 474,000"
2015 World Championship,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/world-championship/2015/1095,2014,1095,"GBP 1,364,000"
2015 China Open,Ranking,Mark Selby,https://cuetracker.net/tournaments/china-open/2015/1081,2014,1081,"GBP 478,000"
2015 Players Championship Grand Final,Ranking,Joe Perry,https://cuetracker.net/tournaments/players-championship-grand-final/2015/1093,2014,1093,"GBP 348,000"
2015 World Grand Prix,Invitational,Judd Trump,https://cuetracker.net/tournaments/world-grand-prix/2015/1090,2014,1090,"GBP 300,000"
2015 Indian Open,Ranking,Michael White,https://cuetracker.net/tournaments/indian-open/2015/1080,2014,1080,"GBP 296,000"
2015 Snooker Shootout,Invitational,Michael White,https://cuetracker.net/tournaments/snooker-shootout/2015/1087,2014,1087,"GBP 130,000"
2015 Welsh Open,Ranking,John Higgins,https://cuetracker.net/tournaments/welsh-open/2015/1083,2014,1083,"GBP 300,000"
2015 German Masters,Ranking,Mark Selby,https://cuetracker.net/tournaments/german-masters/2015/1072,2014,1072,"GBP 283,844"
2015 Masters,Invitational,Shaun Murphy,https://cuetracker.net/tournaments/masters/2015/1078,2014,1078,"GBP 600,000"
2015 Championship League,League,Stuart Bingham,https://cuetracker.net/tournaments/championship-league/2015/1077,2014,1077,"GBP 180,300"
2014 UK Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/uk-championship/2014/1069,2014,1069,"GBP 740,000"
2014 Champion of Champions,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/champion-of-champions/2014/1063,2014,1063,"GBP 270,000"
2014 International Championship,Ranking,Ricky Walden,https://cuetracker.net/tournaments/international-championship/2014/1058,2014,1058,"GBP 628,000"
2014 Shanghai Masters,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/shanghai-masters/2014/1053,2014,1053,"GBP 456,000"
2014 Australian Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/australian-open/2014/1049,2014,1049,"GBP 277,443"
2014 Wuxi Classic,Ranking,Neil Robertson,https://cuetracker.net/tournaments/wuxi-classic/2014/1048,2014,1048,"GBP 466,500"
2016 World Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/world-championship/2016/2063,2015,2063,"GBP 1,499,100"
2016 China Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/china-open/2016/1354,2015,1354,"GBP 542,500"
2016 Players Championship Grand Final,Ranking,Mark Allen,https://cuetracker.net/tournaments/players-championship-grand-final/2016/1386,2015,1386,"GBP 350,000"
2016 World Grand Prix,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/world-grand-prix/2016/1378,2015,1378,"GBP 295,000"
2016 Welsh Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/welsh-open/2016/1361,2015,1361,"GBP 334,000"
2016 Snooker Shootout,Invitational,Robin Hull,https://cuetracker.net/tournaments/snooker-shootout/2016/1357,2015,1357,"GBP 128,000"
2016 German Masters,Ranking,Martin Gould,https://cuetracker.net/tournaments/german-masters/2016/1348,2015,1348,"GBP 275,250"
2016 Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/masters/2016/1351,2015,1351,"GBP 600,000"
2016 Championship League,League,Judd Trump,https://cuetracker.net/tournaments/championship-league/2016/1350,2015,1350,"GBP 183,400"
2015 UK Championship,Ranking,Neil Robertson,https://cuetracker.net/tournaments/uk-championship/2015/1334,2015,1334,"GBP 772,000"
2015 Champion of Champions,Invitational,Neil Robertson,https://cuetracker.net/tournaments/champion-of-champions/2015/1332,2015,1332,"GBP 300,000"
2015 International Championship,Ranking,John Higgins,https://cuetracker.net/tournaments/international-championship/2015/1298,2015,1298,"GBP 660,000"
2015 Shanghai Masters,Ranking,Kyren Wilson,https://cuetracker.net/tournaments/shanghai-masters/2015/1184,2015,1184,"GBP 453,200"
2015 Australian Open,Ranking,John Higgins,https://cuetracker.net/tournaments/australian-open/2015/1100,2015,1100,"GBP 261,145"
2017 World Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/world-championship/2017/2352,2016,2352,"GBP 1,751,000"
2017 China Open,Ranking,Mark Selby,https://cuetracker.net/tournaments/china-open/2017/2264,2016,2264,"GBP 516,000"
2017 Players Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/players-championship/2017/2270,2016,2270,"GBP 375,000"
2017 Gibraltar Open,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/gibraltar-open/2017/2267,2016,2267,"GBP 93,750"
2017 Snooker Shootout,Ranking,Anthony McGill,https://cuetracker.net/tournaments/snooker-shootout/2017/2266,2016,2266,"GBP 130,000"
2017 Welsh Open,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/welsh-open/2017/2268,2016,2268,"GBP 366,000"
2017 World Grand Prix,Ranking,Barry Hawkins,https://cuetracker.net/tournaments/world-grand-prix/2017/2265,2016,2265,"GBP 375,000"
2017 German Masters,Ranking,Anthony Hamilton,https://cuetracker.net/tournaments/german-masters/2017/2259,2016,2259,"GBP 286,450"
2017 Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/masters/2017/2260,2016,2260,"GBP 600,000"
2017 Championship League,League,John Higgins,https://cuetracker.net/tournaments/championship-league/2017/2262,2016,2262,"GBP 181,800"
2016 Scottish Open,Ranking,Marco Fu,https://cuetracker.net/tournaments/scottish-open/2016/2261,2016,2261,"GBP 366,000"
2016 UK Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/uk-championship/2016/2247,2016,2247,"GBP 855,000"
2016 Northern Ireland Open,Ranking,Mark King,https://cuetracker.net/tournaments/northern-ireland-open/2016/2248,2016,2248,"GBP 364,000"
2016 Champion of Champions,Invitational,John Higgins,https://cuetracker.net/tournaments/champion-of-champions/2016/2246,2016,2246,"GBP 300,000"
2016 China Championship,Invitational,John Higgins,https://cuetracker.net/tournaments/china-championship/2016/2244,2016,2244,"GBP 650,000"
2016 International Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/international-championship/2016/2214,2016,2214,"GBP 672,000"
2016 English Open,Ranking,Liang Wenbo,https://cuetracker.net/tournaments/english-open/2016/2245,2016,2245,"GBP 376,000"
2016 European Masters,Ranking,Judd Trump,https://cuetracker.net/tournaments/european-masters/2016/2215,2016,2215,"GBP 274,934"
2016 Shanghai Masters,Ranking,Ding Junhui,https://cuetracker.net/tournaments/shanghai-masters/2016/2196,2016,2196,"GBP 476,200"
2016 Paul Hunter Classic,Ranking,Mark Selby,https://cuetracker.net/tournaments/paul-hunter-classic/2016/2186,2016,2186,"GBP 134,275"
2016 World Open,Ranking,Ali Carter,https://cuetracker.net/tournaments/world-open/2016/2124,2016,2124,"GBP 544,000"
2016 Indian Open,Ranking,Anthony McGill,https://cuetracker.net/tournaments/indian-open/2016/2123,2016,2123,"GBP 300,000"
2016 Riga Masters,Ranking,Neil Robertson,https://cuetracker.net/tournaments/riga-masters/2016/2126,2016,2126,"GBP 138,754"
2018 World Championship,Ranking,Mark Williams,https://cuetracker.net/tournaments/world-championship/2018/2661,2017,2661,"GBP 1,978,000"
2018 China Open,Ranking,Mark Selby,https://cuetracker.net/tournaments/china-open/2018/2626,2017,2626,"GBP 1,035,000"
2018 Players Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/players-championship/2018/2653,2017,2653,"GBP 380,000"
2018 Romanian Masters,Invitational,Ryan Day,https://cuetracker.net/tournaments/romanian-masters/2018/2649,2017,2649,"GBP 176,800"
2018 Gibraltar Open,Ranking,Ryan Day,https://cuetracker.net/tournaments/gibraltar-open/2018/2648,2017,2648,"GBP 153,000"
2018 Welsh Open,Ranking,John Higgins,https://cuetracker.net/tournaments/welsh-open/2018/2647,2017,2647,"GBP 366,000"
2018 World Grand Prix,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-grand-prix/2018/2646,2017,2646,"GBP 375,000"
2018 Snooker Shootout,Ranking,Michael Georgiou,https://cuetracker.net/tournaments/snooker-shootout/2018/2624,2017,2624,"GBP 145,750"
2018 German Masters,Ranking,Mark Williams,https://cuetracker.net/tournaments/german-masters/2018/2620,2017,2620,"GBP 364,500"
2018 Masters,Invitational,Mark Allen,https://cuetracker.net/tournaments/masters/2018/2623,2017,2623,"GBP 600,000"
2018 Championship League,League,John Higgins,https://cuetracker.net/tournaments/championship-league/2018/2622,2017,2622,"GBP 185,300"
2017 Scottish Open,Ranking,Neil Robertson,https://cuetracker.net/tournaments/scottish-open/2017/2619,2017,2619,"GBP 386,000"
2017 UK Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/uk-championship/2017/2616,2017,2616,"GBP 850,000"
2017 Northern Ireland Open,Ranking,Mark Williams,https://cuetracker.net/tournaments/northern-ireland-open/2017/2615,2017,2615,"GBP 366,000"
2017 Shanghai Masters,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/shanghai-masters/2017/2607,2017,2607,"GBP 700,000"
2017 Champion of Champions,Invitational,Shaun Murphy,https://cuetracker.net/tournaments/champion-of-champions/2017/2613,2017,2613,"GBP 370,000"
2017 International Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/international-championship/2017/2602,2017,2602,"GBP 755,000"
2017 English Open,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/english-open/2017/2608,2017,2608,"GBP 408,500"
2017 European Masters,Ranking,Judd Trump,https://cuetracker.net/tournaments/european-masters/2017/2476,2017,2476,"GBP 365,000"
2017 World Open,Ranking,Ding Junhui,https://cuetracker.net/tournaments/world-open/2017/2477,2017,2477,"GBP 697,000"
2017 Indian Open,Ranking,John Higgins,https://cuetracker.net/tournaments/indian-open/2017/2478,2017,2478,"GBP 321,000"
2017 Paul Hunter Classic,Ranking,Michael White,https://cuetracker.net/tournaments/paul-hunter-classic/2017/2484,2017,2484,"GBP 105,100"
2017 China Championship,Ranking,Luca Brecel,https://cuetracker.net/tournaments/china-championship/2017/2424,2017,2424,"GBP 697,000"
2017 Hong Kong Masters,Invitational,Neil Robertson,https://cuetracker.net/tournaments/hong-kong-masters/2017/2475,2017,2475,"GBP 315,000"
2017 Riga Masters,Ranking,Ryan Day,https://cuetracker.net/tournaments/riga-masters/2017/2423,2017,2423,"GBP 222,000"
2019 World Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/world-championship/2019/2918,2018,2918,"GBP 2,231,000"
2019 China Open,Ranking,Neil Robertson,https://cuetracker.net/tournaments/china-open/2019/2856,2018,2856,"GBP 993,000"
2019 Tour Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/tour-championship/2019/2916,2018,2916,"GBP 370,000"
2019 Gibraltar Open,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/gibraltar-open/2019/2880,2018,2880,"GBP 177,000"
2019 Players Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/players-championship/2019/2862,2018,2862,"GBP 375,000"
2019 Indian Open,Ranking,Matthew Selt,https://cuetracker.net/tournaments/indian-open/2019/2690,2018,2690,"GBP 321,000"
2019 Snooker Shootout,Ranking,Thepchaiya Un-Nooh,https://cuetracker.net/tournaments/snooker-shootout/2019/2858,2018,2858,"GBP 128,000"
2019 Welsh Open,Ranking,Neil Robertson,https://cuetracker.net/tournaments/welsh-open/2019/2854,2018,2854,"GBP 364,000"
2019 World Grand Prix,Ranking,Judd Trump,https://cuetracker.net/tournaments/world-grand-prix/2019/2852,2018,2852,"GBP 370,000"
2019 German Masters,Ranking,Kyren Wilson,https://cuetracker.net/tournaments/german-masters/2019/2777,2018,2777,"GBP 395,000"
2019 Masters,Invitational,Judd Trump,https://cuetracker.net/tournaments/masters/2019/2821,2018,2821,"GBP 590,000"
2019 Championship League,League,Martin Gould,https://cuetracker.net/tournaments/championship-league/2019/2820,2018,2820,"GBP 177,800"
2018 Scottish Open,Ranking,Mark Allen,https://cuetracker.net/tournaments/scottish-open/2018/2758,2018,2758,"GBP 364,000"
2018 UK Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/uk-championship/2018/2744,2018,2744,"GBP 845,000"
2018 Northern Ireland Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/northern-ireland-open/2018/2736,2018,2736,"GBP 364,000"
2018 Champion of Champions,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/champion-of-champions/2018/2732,2018,2732,"GBP 370,000"
2018 International Championship,Ranking,Mark Allen,https://cuetracker.net/tournaments/international-championship/2018/2730,2018,2730,"GBP 772,000"
2018 English Open,Ranking,Stuart Bingham,https://cuetracker.net/tournaments/english-open/2018/2731,2018,2731,"GBP 381,000"
2018 European Masters,Ranking,Jimmy Robertson,https://cuetracker.net/tournaments/european-masters/2018/2692,2018,2692,"GBP 397,000"
2018 China Championship,Ranking,Mark Selby,https://cuetracker.net/tournaments/china-championship/2018/2693,2018,2693,"GBP 746,000"
2018 Shanghai Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/shanghai-masters/2018/2721,2018,2721,"GBP 720,000"
2018 Paul Hunter Classic,Ranking,Kyren Wilson,https://cuetracker.net/tournaments/paul-hunter-classic/2018/2691,2018,2691,"GBP 120,000"
2018 World Open,Ranking,Mark Williams,https://cuetracker.net/tournaments/world-open/2018/2684,2018,2684,"GBP 735,000"
2018 Riga Masters,Ranking,Neil Robertson,https://cuetracker.net/tournaments/riga-masters/2018/2683,2018,2683,"GBP 259,000"
2020 World Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/world-championship/2020/3687,2019,3687,"GBP 2,380,000"
2020 Tour Championship,Ranking,Stephen Maguire,https://cuetracker.net/tournaments/tour-championship/2020/3669,2019,3669,"GBP 370,000"
2020 Gibraltar Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/gibraltar-open/2020/3542,2019,3542,"GBP 251,000"
2020 Players Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/players-championship/2020/3474,2019,3474,"GBP 375,000"
2020 Snooker Shootout,Ranking,Michael Holt,https://cuetracker.net/tournaments/snooker-shootout/2020/3466,2019,3466,"GBP 166,000"
2020 Welsh Open,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/welsh-open/2020/3449,2019,3449,"GBP 400,000"
2020 World Grand Prix,Ranking,Neil Robertson,https://cuetracker.net/tournaments/world-grand-prix/2020/3440,2019,3440,"GBP 370,000"
2020 German Masters,Ranking,Judd Trump,https://cuetracker.net/tournaments/german-masters/2020/3365,2019,3365,"GBP 395,000"
2020 European Masters,Ranking,Neil Robertson,https://cuetracker.net/tournaments/european-masters/2020/3364,2019,3364,"GBP 402,000"
2020 Masters,Invitational,Stuart Bingham,https://cuetracker.net/tournaments/masters/2020/3391,2019,3391,"GBP 710,000"
2019 Scottish Open,Ranking,Mark Selby,https://cuetracker.net/tournaments/scottish-open/2019/3363,2019,3363,"GBP 400,000"
2019 UK Championship,Ranking,Ding Junhui,https://cuetracker.net/tournaments/uk-championship/2019/3320,2019,3320,"GBP 994,000"
2019 Northern Ireland Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/northern-ireland-open/2019/3299,2019,3299,"GBP 400,000"
2019 Champion of Champions,Invitational,Neil Robertson,https://cuetracker.net/tournaments/champion-of-champions/2019/3284,2019,3284,"GBP 440,000"
2019 World Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/world-open/2019/3267,2019,3267,"GBP 766,000"
2019 English Open,Ranking,Mark Selby,https://cuetracker.net/tournaments/english-open/2019/3271,2019,3271,"GBP 400,000"
2020 Championship League,League,Scott Donaldson,https://cuetracker.net/tournaments/championship-league/2020/3275,2019,3275,"GBP 182,200"
2019 China Championship,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/china-championship/2019/3109,2019,3109,"GBP 745,000"
2019 Shanghai Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/shanghai-masters/2019/3188,2019,3188,"GBP 745,000"
2019 Paul Hunter Classic,Invitational,Barry Hawkins,https://cuetracker.net/tournaments/paul-hunter-classic/2019/3175,2019,3175,"GBP 10,000"
2019 International Championship,Ranking,Judd Trump,https://cuetracker.net/tournaments/international-championship/2019/2958,2019,2958,"GBP 796,000"
2019 Riga Masters,Ranking,Yan Bingtao,https://cuetracker.net/tournaments/riga-masters/2019/2957,2019,2957,"GBP 273,000"
